Designator,Mid X,Mid Y,Rotation,Layer
-1001,168.7068,-89.3826,0.0,top
C10001,51.1641,-99.306112,90.0,top
C10002,44.5741,-99.861112,270.0,top
C10003,51.4741,-103.141112,90.0,top
C10004,43.6241,-96.381112,90.0,top
C10005,45.4241,-96.551112,90.0,top
C10006,53.5041,-103.133612,90.0,top
C11001,131.418,-108.3012,0.0,top
C11002,140.978,-104.2437,180.0,top
C11003,45.7666,-108.606112,90.0,top
C11004,43.9366,-108.516112,90.0,top
C11005,44.9066,-111.976112,270.0,top
C11006,51.4466,-111.431112,90.0,top
C11007,51.706599,-115.236112,90.0,top
C11008,53.756599,-115.216112,90.0,top
C12001,48.337799,-120.981912,90.0,top
C12002,46.557799,-120.766912,90.0,top
C12003,47.487799,-124.246912,270.0,top
C12006,54.062799,-123.741912,90.0,top
C12007,54.297799,-127.356912,90.0,top
C12008,56.337799,-127.366912,90.0,top
C13001,175.06655,-97.678,0.0,top
C13002,176.93815,-95.6608,180.0,top
C13003,176.94095,-96.669901,0.0,top
C13004,176.99955,-94.249,180.0,top
C13007,182.48335,-106.7992,90.0,top
C13010,177.98755,-106.8246,90.0,top
C14001,142.0724,-98.738,180.0,top
C14002,132.5124,-102.7955,0.0,top
C15001,243.1367,-83.783999,180.0,top
C15002,245.1217,-83.783999,0.0,top
C15003,246.6117,-83.318999,90.0,top
C15004,258.022,-83.104999,270.0,top
C15005,228.0015,-94.3698,0.0,top
C15006,258.0216,-86.101199,90.0,top
C15007,228.0217,-93.3792,180.0,top
C15008,227.6915,-98.891,180.0,top
C17001,184.92165,-97.5564,0.0,top
C17002,186.79325,-95.5392,180.0,top
C17003,186.79605,-96.548301,0.0,top
C17004,186.85465,-94.1274,180.0,top
C17005,253.8488,-107.911799,270.0,top
C17006,253.3688,-105.445399,0.0,top
C17007,192.33845,-106.6776,90.0,top
C17008,131.499,-111.0812,90.0,top
C17009,259.0757,-106.844999,90.0,top
C17010,187.84265,-106.703,90.0,top
C18001,150.2892,-96.7746,0.0,top
C18002,159.8492,-92.7171,180.0,top
C19001,247.9176,-85.802999,90.0,top
C19002,248.3976,-88.269399,180.0,top
C19003,242.6907,-86.869799,270.0,top
C20001,141.9914,-95.958,270.0,top
C21001,164.90795,-105.2861,90.0,top
C21002,164.90535,-103.3811,90.0,top
C21003,166.93735,-103.3557,90.0,top
C22001,161.8978,-110.1338,180.0,top
C22002,152.3378,-114.1913,0.0,top
C24001,150.3702,-99.5546,90.0,top
C24002,174.91565,-105.2755,90.0,top
C24003,174.91305,-103.3705,90.0,top
C24004,176.94505,-103.3451,90.0,top
C27001,184.77075,-105.1539,90.0,top
C27002,184.76815,-103.2489,90.0,top
C27003,186.80015,-103.2235,90.0,top
C28001,161.8168,-107.3538,270.0,top
C29001,151.2978,-109.2338,0.0,top
C29002,152.7478,-109.7338,90.0,top
C29003,152.2778,-104.0538,180.0,top
C3001,196.9144,-78.912,90.0,top
C3002,220.1478,-78.9016,90.0,top
C3003,208.4656,-78.9476,90.0,top
C31001,160.8892,-97.6746,180.0,top
C31002,159.4392,-97.1746,270.0,top
C31003,159.9092,-102.8546,0.0,top
C33001,131.4724,-97.838,0.0,top
C33002,132.9224,-98.338,90.0,top
C33003,132.4524,-92.658,180.0,top
C35001,142.018,-109.2012,180.0,top
C35002,140.568,-108.7012,270.0,top
C35003,141.038,-114.3812,0.0,top
C36001,224.7056,-105.1422,0.0,top
C37001,228.2082,-104.0754,180.0,top
C37002,228.2818,-101.052799,180.0,top
C37003,226.6054,-105.1422,180.0,top
C38001,218.7822,-105.1618,0.0,top
C39001,222.2568,-104.1458,180.0,top
C39002,222.2594,-101.0724,180.0,top
C39003,220.6846,-105.1618,180.0,top
C40001,212.8106,-103.6444,0.0,top
C4001,240.1312,-93.9956,90.0,top
