Designator,Footprint,Quantity,Value,LCSC Part #
"C10001, C10005, C11003, C11006, C12001, C12006",0603,6,0.1uF 50V 0603,C14663
"C10002, C10003, C10004, C11004, C11005, C11008, C12002, C12003, C12008, C17008, C20001, C24001, C28001, C3001, C3002, C3003, C8003",0805,17,10uF 50V 0805,C440198
"C10006, C11007, C12007",0805,3,2.2uF 50V 0805,C377773
"C11001, C14001, C18001, C22001, C6023, C6025",0402,6,10nF,C15195
"C11002, C13004, C13007, C13010, C14002, C15004, C15006, C15008, C17004, C17007, C17009, C17010, C18002, C19003, C21003, C22002, C24004, C27003, C29003, C31003, C33003, C35003, C36001, C37003, C38001, C39003, C40001, C4004, C4007, C4010, C41003, C42001, C43003, C44001, C45003, C46001, C47003, C48001, C49001, C50001, C5004, C5007, C5008, C5009, C5010, C51001, C52001, C53001, C54001, C55001, C56001, C57001, C58001, C6021, C6022, C6024, C6026, C6027, C6028, C6029, C6030, C6031, C6032, C6033, C6034, C6036, C6037, C6038, C6039, C6041, C6043, C6048, C6050, C7005, C7006, C7007, C7008, C7010, C7011, C8005, C9004, C9006",0402,82,0.1uF,
"C13001, C13003, C17001, C17003, C4001, C4003, C5001, C5003",0402,8,1nF,
"C13002, C17002, C4002, C5002",0402,4,10nF,
"C15001, C15003, C9001, C9003",0402,4,2.2uF,
"C15002, C9002",0402,2,1uF,
"C15005, C15007, C17005, C17006, C19001, C19002, C21001, C21002, C24002, C24003, C27001, C27002, C29001, C29002, C31001, C31002, C33001, C33002, C35001, C35002, C37001, C37002, C39001, C39002, C41001, C41002, C43001, C43002, C45001, C45002, C47001, C47002",0402,32,10nF C0G 5%,C3855387
"C5012, C6035, C6040, C6049, C6051, C7009, C8006",0603,7,10uF,
"C6001, C6002, C6003, C6004, C6005, C6006, C6007, C6008, C6009, C6010, C6011, C6012, C6013, C6016, C6017, C6018, C6019, C6020, C7004",0402,19,1uF 0402,C52923
"C7001, C7002",0402,2,5.6pF 0402,C258497
C7003,0402,1,470pF 0402,C363540
C7012,0402,1,4.7nF,
C8001,0603,1,0.1uF 0603,
"D13001, D17001, D4001, D5001",D_SMA,4,D_Schottky,C22452
"D23001, D26001, D4002, D5002, D6005, D8001, D8002, D9001",D_SOD-323,8,BZT52C3V3,C2112
"D48001, D49001, D50001, D51001, D52001, D55001, D56001, D57001, D58001",D_SOD-323,9,BZT52C5V6S,C5184420
"D6001, D6002, D6003, D6004, D7001, D7002",0603,6,Purple LED,C7371898
D7003,SOIC-8_3.9x4.9mm_P1.27mm,1,CDNBS08-SLVU2.8-4,
FB7001,0805,1,GZ2012D601TF,C1017
"IC10001, IC11002, IC12001",SOT-23-6,3,TPS560430XDBVR,
"IC11001, IC13001, IC14001, IC15001, IC17001, IC18001, IC22001, IC36001, IC38001, IC40001, IC4001, IC42001, IC44001, IC46001, IC5001, IC53001, IC54001, IC8001, IC9001",SOIC127P600X175-8N,19,INA826AIDR,C38433
"IC13002, IC13003, IC17002, IC17003, IC4002, IC4003, IC5002, IC5003",SOT-23-5,8,TLV333IDBVR,
"IC17004, IC20001, IC24001, IC28001, IC3001, IC3002, IC3003",SOIC127P600X175-8N,7,BD42540FJ-CE2,C308591
IC5004,SOT95P280X145-6N,1,REF35102QDBVR,
IC6001,QFP50P2200X2200X160-144N,1,STM32H743ZIT6,C114408
"J15001, J9001",AM-K-PCB,2,AM-K-PCB,C9900157061
"J3001, J3003, J3004, J3006",KF141V-2.54-12P,4,Screw_Terminal_01x12,C475123
"J3002, J3005",KF141V-2.54-10P,2,Screw_Terminal_01x10,C475122
J6001,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_02x07_Odd_Even,C3975190
J7001,63391601,1,6339160-1,C125076
J8001,BarrelJack_Horizontal,1,Barrel_Jack PJ-202BH,C3094841
L10001,INDPM4040X300N,1,12uH FNR4030S120MT,C167880
L11001,INDPM4040X300N,1,18uH  FNR4030S180MT, C167882
L12001,INDPM4040X300N,1,33uH  FNR4020S330MT,C167840
"R10001, R11005, R12002",0603,3,22.1k 0603,C25961
R10002,0603,1,51k 0603,C23196
"R10003, R11003, R12003",0805,3,1R 0805,C25271
"R11001, R14001, R18001, R22001",0402,4,200R,C25087
"R11002, R14002, R18002, R22002, R36001",0603,5,RNCF0603TKY75R0 75R 0.01% 5ppm/C,C2482496
R11004,0603,1,88.7k 0603,C203875
R12001,0603,1,243k 0603,C23351
"R13002, R15005, R17002, R38001, R40002, R4002, R42002, R5002, R9005",0603,9,RNCF0603TKY2K00 2k 0.01% 5ppm/C,C346578
"R13003, R17003, R4003, R5003",0805,4,300,
"R13004, R13005, R17004, R17005, R4004, R4005, R5004, R5005",0402,8,10k 1%,
"R13006, R13009, R17006, R17009, R40001, R4006, R4009, R42001, R5006, R5009",0603,10,RNCF0603TKW10K0 10k 0.01% 5ppm/C,C2482678
"R13007, R6024",0402,2,100R 0402,C25076
"R15001, R9001",0402,2,10,C25077
"R15002, R9002",0402,2,10,
"R15003, R36002, R38002, R44001, R46001, R48002, R49002, R50002, R51002, R52002, R53001, R54001, R55001, R56001, R57001, R58001, R9003",0402,17,1M,
"R15004, R15006, R37001, R37002",0402,4,100k 1%,C25741
"R17001, R17007, R19001, R19002, R39001, R39002",0402,6,10k 1%,C25744
"R21001, R21002, R24001, R24002, R27001, R27002, R29001, R29002, R31001, R31002, R33001, R33002, R35001, R35002, R41001, R41002, R43001, R43002, R45001, R45002, R47001, R47002",0402,22,3.3k 1%,C25890
R3001,0603,1,PTS060301B100RP100,C141518
"R48001, R49001, R50001, R51001, R52001, R55002, R56002, R57002, R58002",0805,9,49.9,C17720
"R6001, R6002, R6003, R6004, R6005, R6006, R6007, R6008, R6009, R6010, R6011, R6012, R6013, R6016, R6017, R6018, R6019, R6020",0603,18,10R 0603,C22859
"R6021, R6022, R6023, R6025, R6026, R6027, R6028, R6029, R6030, R7002, R7004, R7006, R7009, R7010, R7012, R7019, R8006, R8007",0402,18,10k,C25744
"R7001, R7003, R7005, R7007",0402,4,33R,C25105
"R7008, R7015, R8005",0402,3,1.5k,C25867
"R7011, R7013, R7016, R7018",0402,4,49.9,C25120
R7014,0402,1,12k,C25752
R7017,0402,1,100R,C25076
"R7020, R7021, R7022, R7023",0603,4,75,C23242
R7024,0402,1,1M,C26083
R8004,2512,1,MRF6432(2512)LR006FTS 0.006 1%,C76239
S6001,TS1187ABAB,1,TS-1187A-B-A-B,C318884
T7001,SOIC127P940X622-16N,1,H1102NLT, C18584
TP7001,TestPoint_Pad_D1.0mm,1,TestPoint_+12V,
TP7002,TestPoint_Pad_D1.0mm,1,TestPoint_+5V,
TP7003,TestPoint_Pad_D1.0mm,1,TestPoint_+2V5,
TP7004,TestPoint_Pad_D1.0mm,1,TestPoint_+3V3,
TP7005,TestPoint_Pad_D1.0mm,1,TestPoint_+1V024,
TP8002,TestPoint_Pad_D1.0mm,1,TestPoint_GND_1,
"U13001, U17001, U4001, U5001",SOT-363_SC-70-6,4,NTJD4001NT1G,C190019
"U15001, U17002, U19001, U21001, U24001, U27001, U29001, U31001, U33001, U35001, U37001, U39001, U41001, U43001, U45001, U47001",SOT-23-5,16,OPA333xxDBV,
"U48001, U49001, U50001, U51001, U52001, U55001, U56001, U57001, U58001",SOT-23-5,9,74LVC1G17,C7836
U6002,SOIC-8_3.9x4.9mm_P1.27mm,1,ADR4525,C403914
U7001,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,LAN8742A,
U8001,SOT-23-6,1,INA181A2,C2058784
Y6001,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,SiT1602BI-21-33S-48.000000,C1198900
Y7001,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,NX2016SA-25.000M-STD-CZS-1,C843258
