Designator,Mid X,Mid Y,Rotation,Layer
C6031,216.096319,-134.946386,45.0,top
C6032,236.866167,-119.798237,225.0,top
C6033,219.63573,-138.537975,45.0,top
C6034,221.308748,-141.730818,315.0,top
C6035,221.988159,-140.650229,315.0,top
C6036,241.125578,-129.662648,135.0,top
C6037,223.33573,-142.182975,45.0,top
C6038,236.536167,-134.253237,135.0,top
C6039,232.661167,-138.148237,135.0,top
C6040,239.551167,-130.973237,225.0,top
C6041,240.621756,-131.662648,45.0,top
C6043,214.241319,-114.316386,0.0,top
C6048,215.70573,-102.836975,90.0,top
C6049,215.98073,-100.306975,270.0,top
C6050,207.05573,-102.761975,90.0,top
C6051,206.83073,-100.306975,270.0,top
C7001,260.31373,-114.140975,180.0,top
C7002,262.81373,-116.520975,270.0,top
C7003,256.28373,-114.600975,270.0,top
C7004,257.25373,-114.600975,270.0,top
C7005,253.39373,-111.390975,270.0,top
C7006,256.55373,-120.030975,90.0,top
C7007,246.71573,-142.416975,270.0,top
C7008,251.16373,-119.460975,0.0,top
C7009,250.60873,-120.690975,0.0,top
C7010,256.21373,-126.740975,270.0,top
C7011,249.91373,-126.720975,270.0,top
C7012,244.71373,-141.900975,0.0,top
C8001,276.04073,-139.571975,0.0,top
C8002,276.04073,-138.021975,0.0,top
C8003,275.52573,-149.286975,0.0,top
C8005,268.13573,-133.926975,180.0,top
C8006,265.68773,-133.646975,180.0,top
C9001,21.845,-141.355001,0.0,top
C9002,19.86,-141.355001,180.0,top
C9003,18.37,-141.820001,270.0,top
C9004,12.74,-141.400001,180.0,top
C9005,15.27,-141.650001,180.0,top
C9006,11.27,-136.845001,270.0,top
D1001,194.41573,-106.716975,0.0,top
D1002,197.78573,-107.986975,0.0,top
D1003,194.46573,-109.436975,0.0,top
D1004,197.81573,-110.846975,0.0,top
D1005,194.46573,-112.686975,0.0,top
D1006,197.84573,-114.376975,0.0,top
D1007,194.47573,-116.146975,0.0,top
D1008,197.83573,-118.256975,0.0,top
D1009,194.44573,-120.006975,0.0,top
D1010,197.83573,-121.906975,0.0,top
D1011,194.47573,-123.756975,0.0,top
D1012,197.85573,-125.536975,0.0,top
D1013,194.46823,-127.176975,0.0,top
D1014,197.82573,-128.906975,0.0,top
D1015,194.46573,-130.756975,0.0,top
D1016,197.80573,-132.476975,0.0,top
D1017,194.45573,-134.246975,0.0,top
D1018,197.81573,-136.056975,0.0,top
D1019,194.42573,-137.726975,0.0,top
D1020,194.41823,-139.736975,0.0,top
D1021,197.75573,-145.416975,0.0,top
D1022,194.42573,-146.566975,0.0,top
D1023,197.74573,-147.706975,0.0,top
D1024,194.41573,-148.826975,0.0,top
D1025,194.42573,-141.966975,0.0,top
D1026,197.76698,-143.066975,0.0,top
D1027,194.41948,-144.216975,0.0,top
D1028,194.28573,-102.446975,0.0,top
D13001,69.855,-106.190001,0.0,top
D17001,53.519999,-106.190001,0.0,top
D2001,197.74573,-140.816975,0.0,top
D2002,197.75823,-105.506975,0.0,top
D2003,226.68073,-99.026975,0.0,top
D21001,37.355,-106.190001,0.0,top
D25001,21.245,-106.215001,0.0,top
D4001,95.9575,-122.59,180.0,top
D5001,86.195,-106.190001,0.0,top
D6001,233.26823,-100.606975,180.0,top
D6002,233.29323,-102.306975,180.0,top
D6003,233.28573,-103.956975,180.0,top
D6004,233.29323,-105.651975,180.0,top
D7001,260.41373,-121.915975,180.0,top
D7002,260.45573,-119.201975,180.0,top
D7003,253.25873,-142.390975,180.0,top
D7004,200.56823,-100.576975,180.0,top
D7005,200.56823,-102.101975,180.0,top
D7006,233.68073,-159.876975,90.0,top
D7007,229.95573,-159.889475,90.0,top
D7008,221.20323,-160.776975,0.0,top
D7009,226.03073,-159.914475,90.0,top
FB7001,261.21373,-126.428475,90.0,top
IC10001,273.43073,-128.341975,180.0,top
IC11001,183.145,-111.190001,270.0,top
IC11002,273.09323,-116.226975,180.0,top
IC12001,272.90823,-104.036975,180.0,top
IC13001,60.155,-111.540001,270.0,top
IC13002,64.685,-114.120001,90.0,top
IC13003,71.6675,-114.100001,90.0,top
IC14001,167.178,-111.190001,270.0,top
IC15001,34.482,-138.080001,180.0,top
IC17001,43.819999,-111.540001,270.0,top
IC17002,48.349999,-114.120001,90.0,top
IC17003,55.332499,-114.100001,90.0,top
IC17004,176.815,-110.727001,270.0,top
IC18001,151.155,-111.170001,270.0,top
IC19001,64.032,-138.010001,180.0,top
IC20001,160.848,-110.727001,270.0,top
IC21001,27.655,-111.540001,270.0,top
IC21002,32.185,-114.120001,90.0,top
IC21003,39.1675,-114.100001,90.0,top
IC22001,135.205,-111.140001,270.0,top
IC23001,82.857,-137.988001,180.0,top
IC24001,144.825,-110.707001,270.0,top
IC25001,11.545,-111.565001,270.0,top
IC25002,16.075,-114.145001,90.0,top
IC25003,23.0575,-114.125001,90.0,top
IC26001,119.29,-111.155001,270.0,top
IC28001,128.875,-110.677001,270.0,top
IC3001,109.772,-133.885001,180.0,top
IC3002,121.098,-133.825001,180.0,top
IC3003,98.78,-133.900001,180.0,top
IC32001,112.96,-110.692001,270.0,top
IC4001,105.6575,-117.240001,90.0,top
IC4002,101.1275,-114.660001,270.0,top
IC4003,94.145,-114.680001,270.0,top
IC5001,76.495,-111.540001,270.0,top
IC5002,81.025,-114.120001,90.0,top
IC5003,88.0075,-114.100001,90.0,top
IC5004,221.30573,-100.726975,180.0,top
IC6001,225.95573,-126.856975,315.0,top
IC8001,267.93773,-137.221975,180.0,top
IC9001,15.532,-138.055001,180.0,top
J10001,81.8275,-98.870001,180.0,top
J11001,180.48,-98.750001,180.0,top
J12001,65.5375,-98.880001,180.0,top
J14001,164.5775,-98.760001,180.0,top
J15001,36.595,-152.965001,180.0,top
J16001,49.2875,-98.860001,180.0,top
J18001,148.5375,-98.760001,180.0,top
J19001,66.145,-152.895001,180.0,top
J20001,33.12,-98.890001,180.0,top
J22001,132.54,-98.770001,180.0,top
J23001,84.97,-152.873001,180.0,top
J24001,17.0075,-98.890001,180.0,top
J26001,116.63,-98.760001,180.0,top
J3001,100.91,-147.090001,0.0,top
J3002,160.36,-147.040001,0.0,top
J3003,175.23,-147.040001,0.0,top
J3004,130.63,-147.035001,0.0,top
J3005,145.52,-147.035001,0.0,top
J3006,115.72,-147.085001,0.0,top
J6001,248.60573,-102.376975,270.0,top
J7001,252.96373,-153.965975,0.0,top
J8001,271.22323,-153.126975,90.0,top
J9001,17.645,-152.940001,180.0,top
L10001,273.71823,-123.691975,270.0,top
L11001,273.40573,-111.566975,270.0,top
L12001,273.21573,-99.386975,270.0,top
R10001,269.82823,-129.481975,180.0,top
R10002,268.96823,-126.391975,270.0,top
R10003,277.35573,-132.001975,180.0,top
R11001,181.91,-106.165001,270.0,top
R11002,184.87,-105.965001,180.0,top
R11003,268.63573,-114.176975,270.0,top
R11004,269.46073,-117.416975,180.0,top
R11005,277.01323,-119.826975,180.0,top
R12001,268.50073,-101.871975,270.0,top
R12002,269.30073,-105.246975,180.0,top
R12003,276.85573,-107.566975,180.0,top
R13002,61.145,-106.052501,90.0,top
R13003,65.295,-106.147501,90.0,top
R13004,67.375,-109.030001,270.0,top
R13005,70.825,-108.600001,0.0,top
R13006,67.575,-111.475001,90.0,top
R13007,251.59073,-98.601975,180.0,top
R13009,69.095,-111.475001,90.0,top
R14001,165.943,-106.165001,270.0,top
R14002,168.903,-105.965001,180.0,top
R15001,40.8,-142.455001,180.0,top
R15002,38.79,-142.455001,0.0,top
R15003,36.295,-141.850001,270.0,top
R15005,39.9575,-139.100001,0.0,top
R17002,44.809999,-106.052501,90.0,top
R17003,48.959999,-106.147501,90.0,top
R17004,51.039999,-109.030001,270.0,top
R17005,54.489999,-108.600001,0.0,top
R17006,51.239999,-111.475001,90.0,top
R17009,52.759999,-111.475001,90.0,top
R18001,149.92,-106.145001,270.0,top
R18002,152.88,-105.945001,180.0,top
R19001,70.35,-142.385001,180.0,top
