Designator,Footprint,Quantity,Value,LCSC Part #
"R8001, R8002, R8003, R8004",2512,4,MRF6432(2512)LR030FTS 0.030 1%,C76247
S6001,TS1187ABAB,1,TS-1187A-B-A-B,C318884
T7001,SOIC127P940X622-16N,1,H1102NLT, C18584
TP3001,TestPoint_Pad_D1.0mm,1,TP_Board_Temp,
TP7001,TestPoint_Pad_D1.0mm,1,TestPoint_+12V,
TP7002,TestPoint_Pad_D1.0mm,1,TestPoint_+5V,
TP7003,TestPoint_Pad_D1.0mm,1,TestPoint_+2V5,
TP7004,TestPoint_Pad_D1.0mm,1,TestPoint_+3V3,
TP7005,TestPoint_Pad_D1.0mm,1,TestPoint_+1V024,
TP7006,TestPoint_Pad_D1.0mm,1,TestPoint_GND,
TP8002,TestPoint_Pad_D1.0mm,1,TestPoint_GND_1,
"U13001, U17001, U21001, U25001, U4001, U5001, U7003",SOT-363_SC-70-6,7,NTJD4001NT1G,C190019
U6002,SOIC-8_3.9x4.9mm_P1.27mm,1,ADR4525,C403914
U7001,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,LAN8742A,
U8001,SOT-23-6,1,INA181A2,C2058784
Y6001,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,SiT1602BI-21-33S-48.000000,C1198900
Y7001,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,NX2016SA-25.000M-STD-CZS-1,C843258
